,ActivityIdentifier,Calcium,Magnesium,Potassium,Sodium,"Sodium, percent total cations",ProjectIdentifier,ActivityStartDate,ActivityStartTime/Time_PST,LongitudeMeasure,LatitudeMeasure
1180,nwisca.01.01706716,95.0,81.4,2.43,71.1,21000.0,National Water Quality Assessment Program (NAWQA),2017-04-20,11:00:00,-122.1365917,37.4168
1181,nwisca.01.01706717,73.6,25.7,2.25,37.1,22000.0,National Water Quality Assessment Program (NAWQA),2017-04-20,13:30:00,-122.1894095,37.42327257
1182,nwisca.01.01706944,57.2,41.3,1.88,28.6,16000.0,National Water Quality Assessment Program (NAWQA),2017-04-04,17:00:00,-121.5271622,36.98744858
1183,nwisca.01.01706945,47.7,13.7,1.23,15.5,16000.0,National Water Quality Assessment Program (NAWQA),2017-03-29,14:50:00,-122.0162889,37.27225
1184,nwisca.01.01706978,68.8,25.3,2.23,32.8,20000.0,National Water Quality Assessment Program (NAWQA),2017-03-30,14:00:00,-122.1894095,37.42327257
1185,nwisca.01.01706980,112.0,95.5,3.03,87.4,22000.0,National Water Quality Assessment Program (NAWQA),2017-03-30,10:50:00,-122.1365917,37.4168
1186,nwisca.01.01706981,42.5,24.3,1.31,19.4,17000.0,National Water Quality Assessment Program (NAWQA),2017-04-17,16:20:00,-121.9330129,37.3738296
1187,nwisca.01.01706985,43.0,15.0,1.52,22.1,22000.0,National Water Quality Assessment Program (NAWQA),2017-04-11,12:00:00,-122.1366305,37.4543832
1188,nwisca.01.01706986,101.0,37.6,2.1,53.4,22000.0,National Water Quality Assessment Program (NAWQA),2017-04-25,10:30:00,-122.064407,37.68548644
1189,nwisca.01.01706989,120.0,47.7,2.45,163.0,42000.0,National Water Quality Assessment Program (NAWQA),2017-05-04,09:00:00,-122.066,37.972
1190,nwisca.01.01706997,31.6,13.0,1.36,10.9,15000.0,National Water Quality Assessment Program (NAWQA),2017-03-29,11:30:00,-121.933,37.2939
1191,nwisca.01.01707852,4750.0,434.0,303.0,1460.0,,National Water Quality Assessment Program (NAWQA),2017-05-14,09:00:00,-122.0438508,37.70493008
1192,nwisca.01.01707853,4330.0,429.0,254.0,1630.0,,National Water Quality Assessment Program (NAWQA),2017-05-15,09:00:00,-122.0016278,37.56660245
1193,nwisca.01.01707865,8800.0,671.0,332.0,1660.0,,National Water Quality Assessment Program (NAWQA),2017-05-13,10:00:00,-122.0035389,37.8257111
1194,nwisca.01.01707866,3030.0,503.0,291.0,1430.0,,National Water Quality Assessment Program (NAWQA),2017-05-12,10:00:00,-122.2243389,37.78568056
1195,nwisca.01.01707867,3010.0,798.0,341.0,1250.0,,National Water Quality Assessment Program (NAWQA),2017-05-10,10:00:00,-121.7946583,37.26493889
1196,nwisca.01.01707869,2620.0,1090.0,383.0,1490.0,,National Water Quality Assessment Program (NAWQA),2017-05-09,10:15:00,-121.6052056,37.08674167
1197,nwisca.01.01707877,3690.0,782.0,481.0,1650.0,,National Water Quality Assessment Program (NAWQA),2017-05-14,11:00:00,-122.2109972,37.96865278
1198,nwisca.01.01707878,6270.0,445.0,311.0,1280.0,,National Water Quality Assessment Program (NAWQA),2017-05-13,11:00:00,-122.3319972,37.9628
1199,nwisca.01.01707879,4460.0,1040.0,400.0,1460.0,,National Water Quality Assessment Program (NAWQA),2017-05-15,11:00:00,-121.9456472,37.95036389
1200,nwisca.01.01707880,4220.0,382.0,232.0,1610.0,,National Water Quality Assessment Program (NAWQA),2017-05-16,11:00:00,-122.0592167,37.90366944
1201,nwisca.01.01707881,2650.0,512.0,255.0,1440.0,,National Water Quality Assessment Program (NAWQA),2017-05-17,11:00:00,-122.1723056,37.8645083
1202,nwisca.01.01707882,5520.0,492.0,258.0,1630.0,,National Water Quality Assessment Program (NAWQA),2017-05-17,11:00:00,-121.8830126,37.62659915
1203,nwisca.01.01707885,2080.0,663.0,288.0,1200.0,,National Water Quality Assessment Program (NAWQA),2017-05-07,11:30:00,-121.5849583,36.9985333
1204,nwisca.01.01707887,2140.0,580.0,353.0,1810.0,,National Water Quality Assessment Program (NAWQA),2017-05-04,12:00:00,-121.933,37.2939
1205,nwisca.01.01707889,2320.0,324.0,267.0,990.0,,National Water Quality Assessment Program (NAWQA),2017-05-03,12:30:00,-122.1894095,37.42327257
1206,nwisca.01.01707891,10500.0,777.0,294.0,1460.0,,National Water Quality Assessment Program (NAWQA),2017-05-11,12:40:00,-121.908,37.3843
