,ActivityIdentifier,"Acidity, (H+)",Ammonia and ammonium,Arsenic,Barium,Barometric pressure,Bed sediment particle size,Bedload sediment flux,Bedload sediment particle size,Boron,Calcium,Carbon dioxide,Chloride,Depth,Fluoride,"Hardness, Ca, Mg","Height, gage",Magnesium,Nitrate,Nitrite,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Number of sampling points,Organic carbon,Orthophosphate,Oxygen,Phosphorus,Potassium,Refractive Index (RI),Silica,Sodium,Specific conductance,"Stream flow, instantaneous",Stream width measure,Sulfate,Suspended Sediment Concentration (SSC),Suspended Sediment Discharge,"Temperature, air","Temperature, water",Total volatile solids,Turbidity,pH
125,11NPSWRD_WQX-PRSF_WQ_DF1_20120821_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523.0,,,,,,,14.92,,,7.18
126,11NPSWRD_WQX-PRSF_WQ_DF1_20120821_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,
127,11NPSWRD_WQX-PRSF_WQ_DF1_20120821_L^01,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,
128,11NPSWRD_WQX-PRSF_WQ_DF1_20120919_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,,,,
129,11NPSWRD_WQX-PRSF_WQ_DF1_20120919_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.0,,,,,,,14.67,,,7.41
130,11NPSWRD_WQX-PRSF_WQ_DF1_20120919_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,
131,11NPSWRD_WQX-PRSF_WQ_DF1_20120919_L^01,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,
132,11NPSWRD_WQX-PRSF_WQ_DF1_20121024_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,
133,11NPSWRD_WQX-PRSF_WQ_DF1_20121024_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.0,,,,,,,14.33,,,7.26
134,11NPSWRD_WQX-PRSF_WQ_DF1_20121024_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.95,
135,11NPSWRD_WQX-PRSF_WQ_DF1_20121024_L^01,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,
136,11NPSWRD_WQX-PRSF_WQ_DF1_20121119_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,
137,11NPSWRD_WQX-PRSF_WQ_DF1_20121119_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.0,,,,,,,13.31,,,7.6
138,11NPSWRD_WQX-PRSF_WQ_DF1_20121119_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.92,
